都道府県,人口,面積,人口密度
北海道,5228885,78421.39,66.68
青森県,1238730,9645.64,128.42
岩手県,1211206,15275.01,79.29
宮城県,2303487,7282.29,316.31
秋田県,960113,11637.52,82.5
山形県,1068696,9323.15,114.63
福島県,1834198,13784.14,133.07
茨城県,2868554,6097.39,470.46
栃木県,1934016,6408.09,301.81
群馬県,1940333,6362.28,304.97
埼玉県,7346836,3797.75,1934.52
千葉県,6287034,5157.57,1218.99
東京都,14064696,2194.03,6410.44
神奈川県,9240411,2416.11,3824.5
新潟県,2202358,12583.96,175.01
富山県,1035612,4247.58,243.81
石川県,1133294,4186.21,270.72
福井県,767433,4190.52,183.14
山梨県,810427,4465.27,181.5
長野県,2049683,13561.56,151.14
岐阜県,1979781,10621.29,186.4
静岡県,3635220,7777.35,467.41
愛知県,7546192,5173.07,1458.75
三重県,1771440,5774.49,306.77
滋賀県,1414248,4017.38,352.03
京都府,2579921,4612.2,559.37
大阪府,8842523,1905.32,4640.96
兵庫県,5469184,8401.02,651.01
奈良県,1325437,3690.94,359.11
和歌山県,923033,4724.65,195.37
鳥取県,553847,3507.14,157.92
島根県,671602,6707.69,100.12
岡山県,1889607,7114.33,265.61
広島県,2801388,8479.65,330.37
山口県,1342987,6112.54,219.71
徳島県,719704,4146.75,173.56
香川県,951049,1876.78,506.75
愛媛県,1335694,5676.19,235.32
高知県,692065,7103.63,97.42
福岡県,5138891,4986.51,1030.56
佐賀県,812013,2440.69,332.7
長崎県,1313103,4130.98,317.87
熊本県,1739211,7409.46,234.73
大分県,1124597,6340.76,177.36
宮崎県,1070213,7735.22,138.36
鹿児島県,1589206,9187.06,172.98
沖縄県,1468410,2282.59,643.31
